COM4
Porta aberta: COM4
dt: 168505 | ü
dt: 98914 | ☺
dt: 195070 | a
dt: 95452 | b
dt: 98523 | ☺
dt: 99799 |
dt: 197078 | a
dt: 98483 | b
dt: 98948 | ☺
dt: 97065 | ☺
dt: 199126 | a
dt: 97208 | b
dt: 96720 | ☺
dt: 88290 |
dt: 182565 | a
dt: 67918 | b
dt: 96937 | ☺
dt: 88419 | ☺
dt: 195657 | a
dt: 99440 | b
dt: 99301 | ☺
dt: 97476 |
dt: 196419 | a
dt: 1068 | b
dt: 75698 | ☺
dt: 97471 | ☺
dt: 198648 | a
dt: 97390 | b
dt: 98300 | ☺
dt: 100504 |
dt: 197301 | a
dt: 96905 | b
dt: 98413 | ☺
dt: 97426 | ☺
dt: 200852 | a
dt: 60744 | b
dt: 99650 | ☺
dt: 98794 |
dt: 197117 | a
dt: 99478 | b
dt: 97087 | ☺
dt: 99130 | ☺
dt: 198214 | a
dt: 99528 | b
dt: 97137 | ☺
dt: 99497 |
dt: 199163 | a
dt: 96727 | b
dt: 98472 | ☺
dt: 97522 | ☺
dt: 200451 | a
dt: 96422 | b
dt: 98137 | ☺
dt: 99502 |
dt: 197578 | a
dt: 96165 | b
dt: 97887 | ☺
dt: 99395 | ☺
dt: 194671 | a
dt: 95108 | b
dt: 99226 | ☺
dt: 99927 |
dt: 198980 | a
dt: 93838 | b
dt: 99812 | ☺
dt: 101091 | ☺
dt: 193658 | a
dt: 101813 | b
dt: 96567 | ☺
dt: 97989 |
dt: 194776 | a
dt: 101254 | b
dt: 95497 | ☺
dt: 98089 | ☺
dt: 196079 | a
dt: 99507 | b
dt: 95207 | ☺
dt: 99941 |
dt: 195930 | a
dt: 98744 | b
dt: 97465 | ☺
dt: 96901 | ☺
dt: 197355 | a
dt: 97196 | b
dt: 97716 | ☺
dt: 96718 |
dt: 197853 | a
dt: 97668 | b
dt: 94749 | ☺
dt: 102146 | ☺
dt: 193866 | a
dt: 98629 | b
dt: 97299 | ☺
dt: 97374 |
dt: 197008 | a
dt: 120464 |
dt: 634 |

dt: 651 | 1
dt: 794 | )
dt: 814 | E
dt: 1063 | L
dt: 745 | E
dt: 1548 | S
dt: 896 |
dt: 715 |

dt: 682 | b
dt: 85134 | ☺
dt: 98085 |
dt: 196216 | a
dt: 101240 | b
dt: 93636 | ☺
dt: 98197 | ☺
dt: 114026 |
dt: 506 |

dt: 2568 | 2
dt: 897 | )
dt: 547 | V
dt: 553 | A
dt: 558 | O
dt: 526 |
dt: 1308 |

dt: 120893 | a
dt: 89779 | b
dt: 95570 | ☺
dt: 99631 | ☺
dt: 201091 | a
dt: 90674 | b
dt: 96762 | ☺
dt: 119112 |
dt: 489 |

dt: 2821 | 3
dt: 825 | )
dt: 546 | S
dt: 541 | E
dt: 552 | R
dt: 516 |
dt: 738 |

dt: 21534 | ☺
dt: 198856 | a
dt: 95348 | b
dt: 98288 | ☺
dt: 95222 |
dt: 199537 | a
dt: 98194 | b
dt: 119302 |
dt: 2341 |

dt: 2139 | 4
dt: 569 | )
dt: 581 | T
dt: 809 | W
dt: 698 | O
dt: 671 |
dt: 800 |

dt: 16815 | ☺
dt: 95155 |
dt: 180074 | a
dt: 96021 | b
dt: 101392 | ☺
dt: 93709 | ☺
dt: 199618 | a
dt: 99215 | b
dt: 98097 | ☺
dt: 93210 |
dt: 202271 | a
dt: 97411 | b
dt: 97734 | ☺
dt: 95215 | ☺
dt: 199303 | a
dt: 96770 | b
dt: 97971 | ☺
dt: 97345 |
dt: 197142 | a
dt: 98067 | b
dt: 97119 | ☺
dt: 99235 | ☺
dt: 196835 | a
dt: 98623 | b
dt: 95695 | ☺
dt: 98500 |
dt: 196196 | a
dt: 98837 | b
dt: 94985 | ☺
dt: 98411 | ☺
dt: 196715 | a
dt: 98040 | b
dt: 95757 | ☺
dt: 98555 |
dt: 195242 | a
dt: 96399 | b
dt: 97754 | ☺
dt: 98136 | ☺
dt: 202320 | a
dt: 96226 | b
dt: 97439 | ☺
dt: 96551 |
dt: 194886 | a
dt: 99056 | b
dt: 100932 | ☺
dt: 95951 | ☺
dt: 196275 | a
dt: 97261 | b
dt: 101357 | ☺
dt: 97986 |
dt: 195185 | a
dt: 97665 | b
dt: 97823 | ☺
dt: 98444 | ☺
dt: 194647 | a
dt: 98720 | b
dt: 96373 | ☺
dt: 98040 |
dt: 195109 | a
dt: 100255 | b
dt: 96863 | ☺
dt: 97294 | ☺
dt: 194599 | a
dt: 100148 | b
dt: 96103 | ☺
dt: 98272 |
dt: 194535 | a
dt: 99401 | b
dt: 98687 | ☺
dt: 96023 | ☺
dt: 193696 | a
dt: 98660 | b
dt: 101359 | ☺
dt: 96038 |
dt: 196398 | a
dt: 96614 | b
dt: 102131 | ☺
dt: 95848 | ☺
dt: 197868 | a
dt: 96773 | b
dt: 99027 | ☺
dt: 98642 |
dt: 195702 | a
dt: 98851 | b
dt: 96742 | ☺
dt: 98200 | ☺
dt: 196134 | a
dt: 95722 | b
dt: 97430 | ☺
dt: 99260 |
dt: 195770 | a
dt: 97869 | b
dt: 97354 | ☺
dt: 98791 | ☺
dt: 195640 | a
dt: 98585 | b
dt: 96886 | ☺
dt: 98071 |
dt: 195878 | a
dt: 97102 | b
dt: 94242 | ☺
dt: 97086 | ☺
dt: 197738 | a
dt: 98010 | b
dt: 92236 | ☺
dt: 96971 |
dt: 197684 | a
dt: 95027 | b
dt: 93666 | ☺
dt: 97245 | ☺
dt: 196042 | a
dt: 99053 | b
dt: 93585 | ☺
dt: 95496 |
dt: 196829 | a
dt: 97762 | b
dt: 97262 | ☺
dt: 95703 | ☺
dt: 196243 | a
dt: 97745 | b
dt: 95447 | ☺
dt: 98707 |
dt: 196746 | a
dt: 98124 | b
dt: 94166 | ☺
dt: 100120 | ☺
dt: 196912 | a
dt: 97385 | b
dt: 96517 | ☺
dt: 98110 |
dt: 196195 | a
dt: 98160 | b
dt: 95680 | ☺
dt: 99570 | ☺
dt: 198440 | a
dt: 119062 |
dt: 666 |

dt: 623 | 1
dt: 719 | )
dt: 421 | E
dt: 618 | L
dt: 411 | E
dt: 390 | S
dt: 387 |
dt: 1622 |

dt: 11443 | b
dt: 99717 | ☺
dt: 95824 | ☺
dt: 199697 | a
dt: 97189 | b
dt: 99526 | ☺
dt: 95291 |
dt: 198076 | a
dt: 117372 |
dt: 2445 |

dt: 744 | 2
dt: 764 | )
dt: 753 | V
dt: 759 | A
dt: 798 | O
dt: 758 |
dt: 760 |

dt: 29062 | b
dt: 95289 | ☺
dt: 100994 |
dt: 196153 | a
dt: 97398 | b
dt: 98568 | ☺
dt: 96893 | ☺
dt: 117769 |
dt: 709 |

dt: 665 | 3
dt: 994 | )
dt: 779 | S
dt: 660 | E
dt: 693 | R
dt: 524 |
dt: 793 |

dt: 117611 | a
dt: 95820 | b
dt: 98166 | ☺
dt: 98895 | ☺
dt: 196103 | a
dt: 96614 | b
dt: 97436 | ☺
dt: 118932 |
dt: 796 |

dt: 580 | 4
dt: 888 | )
dt: 735 | T
dt: 791 | W
dt: 503 | O
dt: 1134 |
dt: 1286 |

dt: 8186 | ☺
dt: 195064 | a
dt: 94349 | b
dt: 96245 | ☺
dt: 97655 |
dt: 195483 | a
dt: 97463 | b
dt: 96760 | ☺
dt: 97188 | ☺
dt: 195912 | a
dt: 94458 | b
dt: 97789 | ☺
dt: 95676 |
dt: 197502 | a
dt: 90196 | b
dt: 100940 | ☺
dt: 94936 | ☺
dt: 199196 | a
dt: 91483 | b
dt: 96259 | ☺
dt: 97793 |
dt: 198553 | a
dt: 85921 | b
dt: 99880 | ☺
dt: 97654 | ☺
dt: 194032 | a
dt: 98980 | b
dt: 98809 | ☺
dt: 97377 |
dt: 193280 | a
dt: 101605 | b
dt: 96567 | ☺
dt: 96116 | ☺
dt: 195626 | a
dt: 101668 | b
dt: 97168 | ☺
dt: 96283 |
dt: 197692 | a
dt: 99379 | b
dt: 98205 | ☺
dt: 95616 | ☺
dt: 197665 | a
dt: 98379 | b
dt: 97958 | ☺
dt: 96029 |
dt: 197208 | a
dt: 95882 | b
dt: 100370 | ☺
dt: 96202 | ☺
dt: 198984 | a
dt: 94423 | b
dt: 99725 | ☺
dt: 98550 |
dt: 193446 | a
dt: 101502 | b
dt: 84463 | ☺
dt: 97412 | ☺
dt: 199865 | a
dt: 97684 | b
dt: 101032 | ☺
dt: 93910 |
dt: 196811 | a
dt: 97622 | b
dt: 99875 | ☺
dt: 93396 | ☺
dt: 199559 | a
dt: 97737 | b
dt: 101073 | ☺
dt: 91907 |
dt: 196811 | a
dt: 98357 | b
dt: 100522 | ☺
dt: 94050 | ☺
dt: 197960 | a
dt: 95931 | b
dt: 97987 | ☺
dt: 99991 |
dt: 197046 | a
dt: 93327 | b
dt: 103285 | ☺
dt: 96740 | ☺
dt: 195900 | a
dt: 97694 | b
dt: 96556 | ☺
dt: 97806 |
dt: 196827 | a
dt: 97358 | b
dt: 94601 | ☺
dt: 99703 | ☺
dt: 198808 | a
dt: 97560 | b
dt: 96505 | ☺
dt: 99523 |
dt: 196932 | a
dt: 96053 | b
dt: 98119 | ☺
dt: 97576 | ☺
dt: 199365 | a
dt: 98230 | b
dt: 97339 | ☺
dt: 98767 |
dt: 198647 | a
dt: 93602 | b
dt: 101208 | ☺
dt: 103896 | ☺
dt: 184892 | a
dt: 95942 | b
dt: 99564 | ☺
dt: 96340 |
dt: 198472 | a
dt: 94935 | b
dt: 106800 | ☺
dt: 80434 | ☺
dt: 196407 | a
dt: 97766 | b
dt: 97416 | ☺
dt: 96512 |
dt: 197924 | a
dt: 98050 | b
dt: 99103 | ☺
dt: 95748 | ☺
dt: 191770 | a
dt: 95577 | b
dt: 129579 | ☺
dt: 59453 |
dt: 201351 | a
dt: 93352 | b
dt: 96358 | ☺
dt: 99804 | ☺
dt: 192286 | a
dt: 93813 | b
dt: 101789 | ☺
dt: 98698 |
dt: 186635 | a
dt: 99209 | b
dt: 117838 |
dt: 400 |

dt: 783 | 1
dt: 573 | )
dt: 665 | E
dt: 753 | L
dt: 749 | E
dt: 754 | S
dt: 762 |
dt: 781 |

dt: 22858 | ☺
dt: 78980 |
dt: 197884 | a
dt: 99230 | b
dt: 97406 | ☺
dt: 97858 | ☺
dt: 196931 | a
dt: 118480 |
dt: 317 |

dt: 1457 | 2
dt: 576 | )
dt: 482 | V
dt: 695 | A
dt: 523 | O
dt: 689 |
dt: 643 |

d
